dataset size, insert ns, search ns, delete ns (nanoseconds)
100,5902,963,3991
1000,953,739,2296
5000,1431,784,3724
10000,501,947,3152
20000,549,963,1432
30000,639,1019,1397
40000,2155,1308,1895
50000,611,1416,1456
60000,567,1182,1653
70000,511,1037,1875
80000,778,1330,1944
90000,598,1374,2185
100000,652,1467,2266
110000,671,2068,1961
120000,435,872,1609
130000,395,527,1585
140000,444,749,1921
150000,416,659,1687
160000,406,724,1319
170000,445,644,1482
180000,452,750,1656
190000,439,760,1544
200000,403,679,1330
210000,356,458,1035
220000,410,659,1291
230000,497,736,4190
240000,472,923,3703
250000,418,632,1249
260000,452,771,1379
270000,451,747,1446
280000,423,540,1234
290000,655,945,3496
300000,467,757,3631
310000,404,659,1156
320000,475,782,1733
330000,3797,831,1314
340000,427,719,1192
350000,1036,816,1320
360000,376,561,1139
370000,451,837,1375
380000,369,507,946
390000,442,809,1312
400000,813,1085,2085
410000,487,636,1262
420000,1710,755,1517
430000,471,779,1347
440000,596,616,1262
450000,448,771,1993
460000,1585,775,1402
470000,658,742,1391
480000,453,930,1472
490000,459,915,1466
500000,474,771,1335
510000,1122,858,1444
520000,507,681,1371
530000,453,875,1355
540000,415,673,1280
550000,453,1589,1407
560000,498,645,1345
570000,618,712,1302
580000,439,923,1497
590000,644,773,1435
600000,474,1079,1630
610000,456,774,1452
620000,477,557,1235
630000,435,953,1576
640000,490,925,1489
650000,633,860,1615
660000,477,903,2067
670000,614,675,1265
680000,445,941,1410
690000,629,875,1558
700000,483,720,1391
710000,817,1377,3476
720000,687,756,1556
730000,483,1036,1536
740000,538,1041,2046
750000,715,969,1859
760000,511,1066,2295
770000,691,770,1428
780000,489,983,1569
790000,489,1025,1617
800000,720,979,1932
810000,711,1204,1994
820000,644,837,1627
830000,746,1147,2124
840000,486,944,1627
850000,3818,796,1429
860000,514,1045,1645
870000,1747,827,1665
880000,726,1319,2186
890000,463,1047,1637
900000,660,754,1603
910000,502,1038,1752
920000,6655,922,1409
930000,2519,892,1571
940000,463,686,1200
950000,420,607,1114
960000,791,1128,1761
970000,409,1701,1161
980000,549,1090,1886
990000,435,795,1359
1000000,3235,1123,1802
